label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
No,45,2987,0,45,elementary school success deluxe 2006,topics entertainment,49.99,2987,elementary school success deluxe 2006,,12.95
No,233,2840,0,233,photo explosion deluxe 3.0,nova development,49.99,2840,photo explosion deluxe 3.0 nova,,49.99
No,513,989,0,513,mavis beacon typing 17 ( win/mac ),encore software,19.99,989,broderbund mavis beacon teaches typing standard17,,22.99
No,135,1886,0,135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,1886,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92
No,1004,1378,0,1004,professor teaches excel & word,individual software,19.99,1378,individual software pmm-xw4 professor teaches excel & word 2007 win 2000 xp vista,,17.97
No,630,2858,0,630,stopzilla 4.0,roxio,47.33,2858,stopzilla ! 4.0 ( pc ) roxio,,29.99
No,636,2527,0,636,mavis beacon teaches typing deluxe v17,encore software,39.99,2527,encore software 10075 encore mavis beacon teaches typing v. 17.0 standard typing tutor pc mac,,18.97
No,669,2638,0,669,printmaster gold v 17.0,encore software,19.99,2638,printmaster gold v 17.0 ( win 98 me 2000 xp ),,19.95
No,1110,456,0,1110,the print shop 22 pro publisher deluxe sb cs by the print shop,encore software,99.95,456,encore inc print shop 22 pro publisher deluxe,,85.07
No,640,3201,0,640,alsoft diskwarrior : mac univeral binary,alsoft,,3201,alsoft disk warrior v/5 cd,,107.95
No,614,1207,0,614,microsoft works suite 2006,microsoft,99.0,1207,microsoft ( r ) works suite 2006,,99.99
No,256,1770,0,256,hallmark card studio 2005 deluxe,sierra home,49.99,1770,hgw hallmark card studio 2005 deluxe complete package 1 user cd win,,47.43
No,476,2877,0,476,ae outlook 2007 win32,microsoft corp,,2877,microsoft office outlook 2007,,109.95
No,67,1573,0,67,netgear vpn01l vpn client software,netgear,89.99,1573,prosafe vpn client software single user netgear inc. vpn01l,,27.78
No,646,809,0,646,instant immersion german audio,topics entertainment,,809,topics entertainment 40206 instant immersion german lab ( software/audiobook/workbook ) win 98 me 2000 xp/mac os 9 or x,,34.97
No,1272,1044,0,1272,punch ! home design architectural series 18,punch ! software,129.99,1044,punch software 41100 punch ! home design architectural series 18 complete product architectural 1 user ( s ) complete product standard english pc,,112.97
No,400,2943,0,400,pokemon team turbo ( jewel case ),valusoft,9.99,2943,pokemon team turbo,,7.95
No,1284,2490,0,1284,punch ! master landscape & home design,punch ! software,99.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
No,570,2271,0,570,professor teaches windows xp,individual software,19.99,2271,individual software prm-wn5 professor teaches windows xp,individual software,24.99
No,576,3041,0,576,cluefinders 3rd grade adventures : mystery of mathra,the learning company,24.99,3041,cluefinders 3rd grade adventures : mystery of mathra,,10.95
No,219,92,0,219,ca brightstor arcserve backup r11 .1 for netware upgrade from arcserve 7 for netware,computer associates,,92,babnur1111s01 brightstor arcserve backup for netware w/sp1 v. 11.1 version upgrade pac,,379.23
No,1326,2909,0,1326,jumpstart world 2nd grade,knowledge adventure,19.99,2909,jumpstart advanced 2nd grade ( pc/mac ) knowledge adventure,,19.99
No,167,1500,0,167,prosoft tunetech for ipod ( mac ),prosoft engineering,74.99,1500,prosoft 27100 tunetech for ipod by prosoft 0794038271005,,51.11
No,788,43,0,788,hoyle puzzle & board games,encore software,19.95,43,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win,,14.51
No,551,140,0,551,symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,140,10759354 symantec backup exec 11d for windows small business server agent for windows sys,,260.63
No,1001,2339,0,1001,printmaster 17 platinum by encore software,encore software,39.99,2339,encore software 10478 encore printmaster v. 17.0 gold complete product creativity application 1 user ( s ) complete product standard pc,,17.97
No,952,1844,0,952,nero 7 ultra edition enhanced,nero inc.,99.99,1844,70009 nero ultra edition enhanced v. 7 complete package 1 user cd win,,87.76
No,975,734,0,975,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,734,lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95
No,155,1893,0,155,softgrid cal for ts 4.1 english mlp 20 user cal,microsoft,,1893,vbc-00002 microsoft softgrid for terminal services v. 4.1 license 20 user cals -,,419.8
No,1059,329,0,1059,quarkxpress 7 windows & macintosh ),quark,899.0,329,quark xpress 7 ( no returns ),,714.99
No,786,2040,0,786,jeopardy! deluxe,encore,19.99,2040,encore software 14111 jeopardy! deluxe,,17.97
No,613,3,0,613,math missions : the amazing arcade adventure grades 3-5,scholastic,19.99,3,math missions : the amazing arcade adventure ( grades 3-5 ),,12.95
No,793,671,0,793,hoyle south beach solitaire,encore,9.99,671,encore inc hoyle solitaire,,7.83
No,535,1822,0,535,microsoft windows live onecare 1.5 online pc care subscription [ 12 months ],microsoft,49.95,1822,c7s-00024 windows live onecare v. 1.5 complete package 3 pcs cd win englis,,38.64
No,1044,2583,0,1044,hoyle puzzle & board games 2007,encore software,19.99,2583,encore software 10027 hoyle board games ( win 98 me 2000 xp ),,7.47
No,1177,1163,0,1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,1163,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95
No,1024,2937,0,1024,punch super home suite 3.0,punch ! software,49.99,2937,punch software 38100 punch ! super home suite ( small box ),punch software,45.99
No,136,1888,0,136,upgrade robohelp server 6 win ue 1u,adobe,3609.98,1888,38038983 adobe robohelp server v. 6.0 upgrade package 1 user cd win inter,,1070.64
No,253,510,0,253,filemaker mobile 8 for palm os and pocket pc,filemaker,69.0,510,filemaker mobile 8,,65.99
No,361,1017,0,361,adobe creative suite cs3 web standard upsell,adobe,799.0,1017,adobe creative suite 3 ( cs3 ) web standard 3 windows upsell from dreamweaver or flash,,799.0
No,5,1640,0,5,emc retrospect 7.5 disk to disk windows,dantz,,1640,retrospect 7.5 prof win upg only pz24a0075,emc,54.68
No,1115,2920,0,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,2920,punch software professional home design platinum version 10,,99.99
No,259,1753,0,259,library expansion option-upg,novastor corporation,,1753,12302 novanet library expansion option upgrade license 1 server linux win nw,,333.31
No,467,2495,0,467,sat act and psat 2007 platinum,topics entertainment,58.5,2495,sat act & psat 2007 platinum,,29.85
No,369,1442,0,369,tlc arthur 's kindergarten learning system 2008,encore,19.99,1442,encore software 13861 tlc arthurs kindergarten learning system 2008,,17.97
No,741,2860,0,741,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,2860,adobe illustrator cs3 ( mac ),,599.0
No,376,219,0,376,printmaster gold v 17.0,nova development,19.95,219,encore inc printmaster gold v 17.0,,17.1
No,1114,2264,0,1114,webroot spy sweeper antispyware 5.x,webroot software,29.95,2264,webroot software inc 31250 spy sweeper spanish win 2000 xp,,25.97
No,1302,2098,0,1302,scrabble with bonus clue,encore,19.99,2098,encore software 11611 scrabble with bonus clue sb cs by hasbro,,17.97
No,649,69,0,649,mcafee total protection 2007 3 users,mcafee,99.99,69,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,,86.94
No,1105,1062,0,1105,punch ! master landscape & home design,punch ! software,59.99,1062,punch software 25100 punch ! master landscape and home design,punch software,45.99
No,667,1422,0,667,toysight gold for isight : includes 15 games ( mac ),freeverse software,29.99,1422,freeverse software 5014 toysight gold ( mac 10.2 or higher ),,22.97
No,1329,3016,0,1329,instant immersion translator deluxe 2.0,topics entertainment,49.99,3016,instant immers italian dlux 2 .,,36.11
No,455,768,0,455,brainfood games cranium collection 2006,encore software,19.99,768,encore software 11250 brain food games : cranium collection 2006 win 98 me 2000 xp,,18.97
No,733,565,0,733,clickart 1.2 million dvd 2006 by broderbund,encore software,49.99,565,encore inc clickart 1.2 million 2006 dvd,,42.27
No,1028,2296,0,1028,makemusic finale 2007 win/mac,emedia,600.0,2296,make finale 2007 software educational discount music production software,,289.95
No,575,3069,0,575,millionaire sports edition ( jewel case ),disney interactive,9.99,3069,who wants to be a millionaire sports edition,,8.95
No,1118,953,0,1118,adobe creative suite cs3 master collection upsell,adobe,1999.0,953,adobe cs3 master collection,,2499.99
No,819,2527,0,819,mavis beacon 17 standard,encore software,19.95,2527,encore software 10075 encore mavis beacon teaches typing v. 17.0 standard typing tutor pc mac,,18.97
No,190,1536,0,190,isi researchsoft reference manager 11 single user,isi researchsoft,299.99,1536,isi researchsoft 6201 reference manager 11 single user edition 0787731062117,,164.58
No,13,767,0,13,spy sweeper spanish,webroot software,29.95,767,webroot software 65210 spy sweeper 3 pc,webroot software,31.99
No,139,1763,0,139,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,1763,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
No,406,3041,0,406,cluefinders 3rd grade,the learning company,,3041,cluefinders 3rd grade adventures : mystery of mathra,,10.95
No,889,2572,0,889,scrabble champion edition,encore,19.95,2572,encore software 11192 scrabble champion edition win 98 me 2000 xp,,18.97
No,1021,2144,0,1021,resumemaker professional 12.0,individual software,29.99,2144,individual software prm-r12 resumemaker professional 12.0,individual software,29.99
No,504,2337,0,504,adobe audition 2.0 upgrade,adobe,129.0,2337,adobe 22011152 audition2 win retail ue 1u,,296.2
No,1266,2614,0,1266,sony sound forge audio studio 8,sony-pictures-digital-entertainment,69.99,2614,sony creative software sound forge audio studio v. 8.0 complete product,,55.29
No,132,1640,0,132,upgrade emc retrospect 7.5 multi server windows only,dantz,,1640,retrospect 7.5 prof win upg only pz24a0075,emc,54.68
No,301,1181,0,301,broderbund printmaster platinum 16.0,encore software,39.99,1181,printmaster ( r ) platinum 16,,39.97
No,16,1976,0,16,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq computer,,1976,231327-b22 hp storageworks secure path for netware workgroup edition v. 3.0 c licens,,65395.24
No,118,1525,0,118,crystal reports xi professional edition,business objects,495.0,1525,crystal reports xi professional edition complete package,,537.57
No,689,2932,0,689,family tree maker version 16 collectors edition,encore software,,2932,encore software 10881 family tree maker version 16 standard sb cs by family tree maker,,42.97
No,553,923,0,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,923,adobe indesign cs3 for mac upgrade from pagemaker,,205.99
No,78,288,0,78,emedia intermediate guitar method os x,emedia,59.99,288,emedia music corp emedia intermediate guitar method,,49.21
No,615,1853,0,615,adobe creative suite cs3 design standard upgrade,adobe,399.0,1853,19300109 adobe creative suite 3 design standard product upgrade package 1 user upgr,,424.74
No,1282,2524,0,1282,adobe after effects cs3,adobe,999.0,2524,adobe after effects cs3 professional software for windows effects software,,998.95
No,952,2117,0,952,nero 7 ultra edition enhanced,nero inc.,99.99,2117,nero nero 7 ultra edition enhanced cd/dvd burning software for windows authoring software,,79.99
No,102,1668,0,102,myinvoices & estimates deluxe,avanquest software,39.95,1668,myinvoices & estimates deluxe,,39.99
No,1287,783,0,1287,punch ! 5 in 1 home design,punch ! software,39.99,783,punch software 20100 punch ! 5 in 1 home design,punch software,35.99
No,224,81,0,224,netmanage rumba web as/400 edition 910584-001 ),netmanage,,81,910584-001 rumba as/400 edition v. 7.2 upgrade package 1 processor tier p60 c,,26759.24
No,251,1791,0,251,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,1791,c8d-00006 microsoft dynamics crm small business edition v. 3.0 license 20 user c,,9654.16
No,1282,2154,0,1282,adobe after effects cs3,adobe,999.0,2154,adobe after effects professional 7 software for windows effects software,,999.0
No,482,3130,0,482,window washer,webroot-software-inc,,3130,webroot ( r ) window washer ( tm ) 5.0,,28.99
No,247,1799,0,247,netmanage onweb web-to-host v. 5.1 upgrade license 910443-004 ),netmanage,,1799,910443-004-g onweb web-to-host v. 5.1 upgrade license 1 user volume level g 3,,60.44
No,924,2574,0,924,hoyle casino ( 2007 ),encore,19.99,2574,encore software 10673 hoyle casino 2007 win 98 me 2000 xp,,18.97
No,35,2018,0,35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99,2018,encore software 10731 the print shop 22 pro publisherdeluxe sb cs by the print shop,,81.97
No,377,1907,0,377,pc cillin internet sec 2007 lics large box 3u,trend micro,49.95,1907,pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win,,29.02
No,512,3160,0,512,microsoft windows xp professional upgrade with sp2,microsoft software,199.99,3160,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99
No,1264,2426,0,1264,punch ! professional home design suite,punch ! software,69.99,2426,punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc,,59.97
No,517,1595,0,517,adobe photoshop cs3 [ mac ],adobe,649.0,1595,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
No,508,314,0,508,acrobat professional 8 mac upsell standard-professional,adobe,273.0,314,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),,157.36
No,142,1809,0,142,ca brightstor arcserve backup r11 .1 for netware tape library option service pack,computer associates,,1809,babnbr1111s05 brightstor arcserve backup tape library option for netware w/sp1 v. 11.1 -,,643.42
No,382,2112,0,382,adobe production studio premium,adobe,1699.0,2112,adobe production premium cs3 software suite for windows professional editing software,,1698.95
No,518,1159,0,518,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,1159,microsoft ( r ) office 2004 for mac standard edition upgrade version,,234.95
No,1259,433,0,1259,print shop 22 pro publisher deluxe,encore,99.99,433,encore inc print shop 22 deluxe,,42.69
No,557,2393,0,557,adobe creative suite cs3 production premium,adobe,1699.0,2393,adobe production premium cs3 software suite for mac av production software,,1698.95
No,887,2091,0,887,hoyle bridge club,encore,29.95,2091,encore software 11231 hoyle bridge club sb cs by us playing cards,,25.97
No,157,1900,0,157,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,1900,29180162 adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package,,138.28
No,917,2290,0,917,elementary advantage 2008,encore software,,2290,encore software 12361 encore elementary advantage 2008 training/wbt pc,,33.97
No,223,82,0,223,symantec client security 3.1 with groupware protection business pack 50 user,symantec,3732.0,82,10517940 symantec client security with groupware protection business pack v. 3.1 -,,3323.92
No,860,1504,0,860,apple ilife '06 family pack ( mac dvd ) [ older version ],apple computer,99.0,1504,ilife '06 mac apple ma166z/a,,47.8
No,1105,1080,0,1105,punch ! master landscape & home design,punch ! software,59.99,1080,punch software 25100 punch ! master landscape and home design,punch software,45.99
No,107,3213,0,107,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe,242.62,3213,adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd,,104.99
No,257,728,0,257,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for,computer associates,,728,bablbr1150s06 brightstor arcserve backup enterprise option for advantage ingres for linux (,,842.73
No,367,2776,0,367,big oil : build an oil empire,tri synergy,19.99,2776,big oil : build an oil empire,,8.95
No,1185,313,0,1185,3d home architect landscape design deluxe version 9,encore,29.99,313,encore inc 3d home architect home design deluxe version 9,,25.49
No,605,1686,0,605,microsoft word 2004 ( mac ),microsoft,229.99,1686,word mac 2004 microsoft d48-00487,,157.18
No,1258,2744,0,1258,punch ! home design architectura series 18,punch ! software,129.99,2744,punch software 42100 punch ! home design architectural series 18 ( small box ),punch software,119.99
No,705,204,0,705,professional home design suite platinum,punch ! software,99.95,204,punch software pro home design suite,,61.8
No,1074,251,0,1074,family tree maker version 16 collectors edition sb cs,encore software,99.99,251,encore inc family tree maker version 16 collectors edition,,85.07
No,1199,3138,0,1199,dreamweaver cs3 9 mac ed 1u,adobe-education-box,199.0,3138,adobe dreamweaver cs3 complete package 1 user academic cd mac,,189.0
No,705,2426,0,705,professional home design suite platinum,punch ! software,99.95,2426,punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc,,59.97
No,1221,31,0,1221,ulead videostudio 10,corel,69.99,31,buvsag-00000 ulead videostudio 10 complete package 1 user win english,,61.94
No,238,1769,0,238,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for,computer associates,,1769,bablur1150s06 brightstor arcserve backup enterprise option for advantage ingres for linux (,,632.18
No,1241,122,0,1241,quicken legal business pro 2007,nolo press,79.99,122,sbqb7r quicken legal business pro 2007 complete package 1 user win,,69.16
No,551,1858,0,551,symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,1858,11105972 symantec backup exec 11d for windows small business server agent for windows sys,,320.66
No,563,1901,0,563,macromedia director 10 mx 2004,adobe,2171.7,1901,38000773 macromedia director mx 2004 complete package 1 user cd win mac univer,,1285.07
No,40,2544,0,40,the print shop 22 deluxe,encore,49.99,2544,encore software 10741 the print shop 22 deluxe sb cs by the print shop,,42.97
No,570,2412,0,570,professor teaches windows xp,individual software,19.99,2412,individual software prm-wn5 professor teaches windows xp,individual software,24.99
No,615,946,0,615,adobe creative suite cs3 design standard upgrade,adobe,399.0,946,adobe cs3 design standard upgrade,,413.99
No,138,1892,0,138,sonicwall gms standard edition 10 node license,sonicwall,,1892,01-ssc-3363 sonicwall global management system standard edition license 10 nodes win,,1835.31
No,162,2123,0,162,icopydvds2 ultra by digital wunders,global-marketing-partners,89.99,2123,i copy dvds 2 ultra edition,,29.9
No,853,639,0,853,onone essentials for adobe photoshop elements,onone software,59.95,639,onone software essentials for adobe photoshop elements version 2 full,,59.33
No,3,1066,0,3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,1066,sage software peachtree premium accounting 2007 software for windows tax & finance software,,469.95
No,513,1093,0,513,mavis beacon typing 17 ( win/mac ),encore software,19.99,1093,mavis beacon ( r ) teaches typing v. 17 deluxe,,37.99
No,1115,1080,0,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,1080,punch software 25100 punch ! master landscape and home design,punch software,45.99
No,660,2696,0,660,usa/world extreme landscapes bundle,abacus,39.95,2696,abacus software s546 usa extreme landscapes for fs2004 and fs2002 3cd set,abacus software,28.99
No,244,1864,0,244,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,1864,124-00458 microsoft visual studio team edition 2005 for software developers complete pac,,5159.29
No,516,99,0,516,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,99,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
No,441,2928,0,441,sony acid music studio,sony-pictures-digital-entertainment,69.99,2928,sony sams7000 creative software acid music studio v. 7.0 music editing/composing pc,,53.97
No,315,3072,0,315,super solvers mission t.h.i.n.k 25 user site license,learning company,399.95,3072,super solvers mission think 25 user site license,,79.95
No,428,2771,0,428,zonealarm anti-spyware,zone labs,29.99,2771,zonealarm antivirus 2007 ( pc ) zonelabs,,29.99
No,527,2391,0,527,adobe premiere elements 3.0,adobe,99.99,2391,adobe premiere elements 3.0,,89.99
No,903,2830,0,903,mavis beacon teaches typing 17 standard,encore software,19.99,2830,mavis beacon teaches typing 17 standard ( pc/mac ) encore,,19.99
No,1174,151,0,1174,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,151,adobe indesign cs3 for mac upgrade,,205.99
No,243,2863,0,243,money premium 2007 win32 eng na mini box us only cd,microsoft,118.46,2863,microsoft money 2007 premium ( pc ),,79.99
No,810,2286,0,810,monopoly here & now,encore,19.95,2286,encore software 11181 encore monopoly here & now board game pc,,17.97
No,490,137,0,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,137,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74
No,1151,3219,0,1151,pc tools spyware doctor 2007,encore,29.95,3219,pc tools spyware doctor 2007,,29.99
No,229,1722,0,229,vcomm system suite professional 7,avanquest,49.95,1722,1460 vcom systemsuite professional v. 7 complete package 1 user cd win,,36.93
No,1272,2926,0,1272,punch ! home design architectural series 18,punch ! software,129.99,2926,punch software 41100 punch ! home design architectural series 18,punch software,118.99
No,669,1115,0,669,printmaster gold v 17.0,encore software,19.99,1115,printmaster ( r ) gold 17,,19.99
No,47,2072,0,47,math success deluxe 2006,topics entertainment,49.99,2072,topics entertainment reference success deluxe 2006,,22.9
No,1258,1048,0,1258,punch ! home design architectura series 18,punch ! software,129.99,1048,punch software 42100 punch ! home design architectural series 18 complete product architectural 1 user ( s ) complete product standard english pc,,108.97
No,961,737,0,961,vegas movie studiodvd +8 plat,sony media,129.95,737,madison media software aspvms8000 acad vegas movie studio + dvd 8 platinum,sony-pictures-digital-entertainment,81.97
No,1072,2139,0,1072,marine aquarium & goldfish screen saver by encore software,encore software,,2139,marine aquarium & goldfish screen saver by encore software,,19.99
No,272,2292,0,272,adobe audition 2.0,adobe,349.0,2292,adobe audition 2.0 audio production software educational discount audio software for video,adobe-education-box,148.95
No,1110,2544,0,1110,the print shop 22 pro publisher deluxe sb cs by the print shop,encore software,99.95,2544,encore software 10741 the print shop 22 deluxe sb cs by the print shop,,42.97
No,1249,3130,0,1249,window washer,navarre ( software ),29.95,3130,webroot ( r ) window washer ( tm ) 5.0,,28.99
No,1115,1052,0,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,1052,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
No,819,989,0,819,mavis beacon 17 standard,encore software,19.95,989,broderbund mavis beacon teaches typing standard17,,22.99
